Частота (Гц), Фаза (градусы)
28.20, -143.47
28.25, 112.95
28.30, 21.59
28.35, -14.86
28.40, -114.77
28.45, 29.96
28.50, -71.10
28.55, 27.87
28.60, -120.56
28.65, -148.06
28.70, 128.82
28.75, 5.36
28.80, -30.50
28.85, -163.89
28.90, -113.75
28.95, -169.40
29.00, 84.99
29.05, -143.27
29.10, 102.45
29.15, 147.57
29.20, 168.57
29.25, 29.78
29.30, 36.31
29.35, -54.07
29.40, -53.60
29.45, 100.65
29.50, -178.46
29.55, -158.36
29.60, 78.19
29.65, -155.70
29.70, 47.25
29.75, -90.41
29.80, 38.30
29.85, -142.20
29.90, 35.02
29.95, -86.68
30.00, 66.64
30.05, -9.84
30.10, -155.76
30.15, -51.97
30.20, 133.03
30.25, -135.15
30.30, 177.00
30.35, -131.77
30.40, -113.72
30.45, 124.88
30.50, -34.43
30.55, 128.81
30.60, 115.38
30.65, 170.39
30.70, 42.77
30.75, 96.68
30.80, 83.63
30.85, 74.95
30.90, 77.64
30.95, 168.03
31.00, 44.23
31.05, 18.53
31.10, 46.47
31.15, -139.37
31.20, 85.76
31.25, 108.35
31.30, -34.99
31.35, -104.87
31.40, -153.42
31.45, 28.92
31.50, -36.78
31.55, -107.96
31.60, -127.89
31.65, 102.72
31.70, -89.71
31.75, -18.93
31.80, 155.51
31.85, 118.13
31.90, -94.06
31.95, 137.30
32.00, -63.96
32.05, 158.09
32.10, 24.72
32.15, -49.02
32.20, -21.56
32.25, -150.79
32.30, 94.48
32.35, -121.25
32.40, 153.08
32.45, 168.67
32.50, 178.28
32.55, -90.50
32.60, -82.11
32.65, 84.09
32.70, 173.11
32.75, 93.59
32.80, 105.13
32.85, 59.38
32.90, -144.03
32.95, 159.24
33.00, -167.62
33.05, 149.78
33.10, -131.99
33.15, -101.73
33.20, -130.87
33.25, 153.92
33.30, -40.44
33.35, 162.38
33.40, 139.52
33.45, 144.61
33.50, -12.52
33.55, -98.44
33.60, -151.21
33.65, -143.46
33.70, 72.87
33.75, 13.30
33.80, 124.49
33.85, -145.19
33.90, 164.09
33.95, -109.41
34.00, -138.82
34.05, 100.05
34.10, 133.20
34.15, -99.06
34.20, -144.26
34.25, -164.59
34.30, -165.30
34.35, 161.56
34.40, -129.40
34.45, 112.67
34.50, 89.18
34.55, -141.37
34.60, -57.79
34.65, -155.03
34.70, 108.02
34.75, -148.04
34.80, 74.61
34.85, -77.26
34.90, 119.62
34.95, -74.99
35.00, 43.55
35.05, 56.87
35.10, 37.78
35.15, -67.82
35.20, 150.42
35.25, -172.64
35.30, 2.12
35.35, -129.54
35.40, 126.93
35.45, -19.39
35.50, 109.12
35.55, -167.03
35.60, 4.96
35.65, 80.23
35.70, 113.19
35.75, -93.98
35.80, 76.04
35.85, 167.86
35.90, 1.18
35.95, -144.36
36.00, -136.91
36.05, -135.67
36.10, -132.95
36.15, 152.45
36.20, -135.35
36.25, 172.02
36.30, -137.14
36.35, -150.52
36.40, 175.50
36.45, 42.91
36.50, 56.76
36.55, -145.74
36.60, -135.53
36.65, -72.45
36.70, -26.40
36.75, 155.03
36.80, 131.24
36.85, 91.68
36.90, 80.81
36.95, 52.80
37.00, 86.88
37.05, -153.09
37.10, 174.44
37.15, 126.61
37.20, 73.99
37.25, 141.79
37.30, -155.94
37.35, -155.54
37.40, 169.52
37.45, -170.79
37.50, -178.67
37.55, 48.95
37.60, -136.60
37.65, 179.95
37.70, 98.70
37.75, -120.50
37.80, -169.04
37.85, 161.76
37.90, -6.32
37.95, -64.50
38.00, 154.72
38.05, -144.80
38.10, 95.31
38.15, -146.13
38.20, -140.80
38.25, -145.58
38.30, -129.93
38.35, -146.16
38.40, 71.46
38.45, 120.50
38.50, -132.51
38.55, -59.07
38.60, -11.37
38.65, -37.05
38.70, -30.01
38.75, 129.81
38.80, 73.04
38.85, 162.46
38.90, 119.50
38.95, 119.10
39.00, -80.81
39.05, 164.72
39.10, -15.10
39.15, 14.79
39.20, -47.66
39.25, 64.34
39.30, 167.51
39.35, 84.66
39.40, -124.74
39.45, -92.01
39.50, -52.85
39.55, -58.45
39.60, 178.31
39.65, -105.23
39.70, -51.45
39.75, 42.01
39.80, 167.04
39.85, 48.04
39.90, 179.23
39.95, -172.36
40.00, 176.69
40.05, -120.22
40.10, -140.70
40.15, -140.98
40.20, 48.64
40.25, 29.07
40.30, -57.50
40.35, 168.92
40.40, 114.06
40.45, -3.09
40.50, -156.18
40.55, 43.87
40.60, -60.53
40.65, 110.65
40.70, -167.49
40.75, 78.76
40.80, 50.13
40.85, 85.41
40.90, -68.27
40.95, 60.22
41.00, -107.05
41.05, 147.15
41.10, -87.91
41.15, 41.42
41.20, 64.03
41.25, -92.20
41.30, 162.25
41.35, 50.03
41.40, 70.14
41.45, 151.31
41.50, 159.20
41.55, 149.94
41.60, 30.84
41.65, -179.64
41.70, 51.88
41.75, -103.96
41.80, 172.58
41.85, 122.19
41.90, 5.42
41.95, 94.83
42.00, -18.37
42.05, -168.67
42.10, -8.99
42.15, 158.56
42.20, 58.65
42.25, 170.04
42.30, 121.79
42.35, -97.86
42.40, -31.80
42.45, 44.83
42.50, 126.23
42.55, -93.44
42.60, -129.52
42.65, -107.19
42.70, -23.87
42.75, 178.94
42.80, 57.55
42.85, 152.08
42.90, 14.17
42.95, -68.50
43.00, -27.49
43.05, 164.89
43.10, 174.69
43.15, -137.57
43.20, 57.04
43.25, 8.92
43.30, 153.09
43.35, -93.40
43.40, 70.38
43.45, -163.66
43.50, 107.07
43.55, -158.08
43.60, -143.97
43.65, -77.15
43.70, 176.21
43.75, -174.10
43.80, 9.95
43.85, 9.80
43.90, 112.32
43.95, 22.85
44.00, -48.98
44.05, 15.07
44.10, -28.72
44.15, 78.18
44.20, 38.83
44.25, -37.71
44.30, -91.19
44.35, 81.72
44.40, 66.88
44.45, 78.43
44.50, -94.00
44.55, -47.15
44.60, 161.64
44.65, 29.02
44.70, 6.08
44.75, -105.60
44.80, 88.99
44.85, 70.78
44.90, -158.71
44.95, 143.35
45.00, 66.39
45.05, -68.16
45.10, 144.04
45.15, 138.07
45.20, -162.07
45.25, 167.92
45.30, -130.47
45.35, 42.13
45.40, -109.32
45.45, -106.69
45.50, -120.40
45.55, -7.40
45.60, 155.77
45.65, -78.43
45.70, -57.49
45.75, 50.25
45.80, 119.92
45.85, -6.66
45.90, -12.06
45.95, -108.31
46.00, -162.25
46.05, 46.12
46.10, -88.67
46.15, 2.53
46.20, -138.21
46.25, -121.83
46.30, 72.83
46.35, -130.86
46.40, -129.13
46.45, -130.57
46.50, 101.55
46.55, -85.23
46.60, -170.25
46.65, 122.12
46.70, -144.08
46.75, -44.78
46.80, -1.37
46.85, -141.76
46.90, 90.89
46.95, -110.80
47.00, -12.34
47.05, -103.87
47.10, -138.46
47.15, 78.76
47.20, 136.49
47.25, 83.74
47.30, 4.56
47.35, 129.31
47.40, 49.33
47.45, -0.81
47.50, 22.31
47.55, -70.17
47.60, -2.43
47.65, -154.98
47.70, -52.00
47.75, 113.17
47.80, -99.49
47.85, 126.62
47.90, 90.89
47.95, 139.58
48.00, 37.27
48.05, -120.74
48.10, 130.33
48.15, -85.53
48.20, -128.23
48.25, -167.02
48.30, 27.85
48.35, -32.87
48.40, 46.46
48.45, 57.70
48.50, -5.52
48.55, -179.62
48.60, 166.25
48.65, 64.12
48.70, -39.72
48.75, 146.92
48.80, 74.04
48.85, 114.16
48.90, 56.62
48.95, -40.56
49.00, -147.53
49.05, -2.60
49.10, 35.74
49.15, 150.79
49.20, 131.84
49.25, 78.85
49.30, -163.28
49.35, 62.41
49.40, 105.29
49.45, -116.07
49.50, -160.57
49.55, -119.37
49.60, 140.80
49.65, 67.26
49.70, 69.49
49.75, 41.24
49.80, 166.90
49.85, 65.20
49.90, 112.97
49.95, 116.37
50.00, -163.38
50.05, 126.72
50.10, -123.91
50.15, 131.18
50.20, -16.33
50.25, 168.23
50.30, -51.80
50.35, -24.49
50.40, 32.60
50.45, 31.68
50.50, 8.99
50.55, 103.73
50.60, -24.42
50.65, -64.95
50.70, -160.33
50.75, -59.79
50.80, 111.32
50.85, 26.29
50.90, -113.44
50.95, 94.71
51.00, 53.29
51.05, -59.16
51.10, 44.55
51.15, -130.24
51.20, 95.59
51.25, -125.80
51.30, 101.08
51.35, -10.51
51.40, -130.79
51.45, -140.26
51.50, -9.23
51.55, 96.86
51.60, 153.93
51.65, 69.45
51.70, -157.47
51.75, -32.94
51.80, -29.86
51.85, 13.06
51.90, -26.71
51.95, 112.38
52.00, -32.87
52.05, -119.50
52.10, -164.50
52.15, 159.05
52.20, -162.05
52.25, -5.81
52.30, -122.25
52.35, 20.03
52.40, 29.13
52.45, -72.15
52.50, -90.17
52.55, -164.60
